Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:6	ab55		rc://*/ta/man/translate/figs-metonymy	am praying before your face	1	Here **face** is a metonym for the action of seeing, which is figurative way of referring to a person’s notice or attention to something. Nehemiah is repeating the fact that he is praying in order to bring these matters to God’s notice or attention. Alternate translation: “praying to you”
1:6	ab57		rc://*/ta/man/translate/figs-idiom	today	1	This does not necessarily mean on this particular day, but at this time. Alternate translation: “right now”
1:6	v8gx		rc://*/ta/man/translate/figs-merism	today, day and night	1	When Nehemiah says that he has prayed both during the day and during the night, he means that he has also prayed at all times in between, that is, constantly. However, he does not mean that he has prayed non-stop all day long and all night long, without doing any other activities such as sleeping or eating. Alternate translation: “constantly,” otherwise “during the day and at night”
1:6	ab59		rc://*/ta/man/translate/figs-gendernotations	the sons of Israel	1	Here **sons** means **descendants.** Alternate translation: “on behalf of the people of Israel”
1:6	ab61		rc://*/ta/man/translate/figs-metaphor	your servants	1	In this context, the word **servants** refers to the special role that the people of Israel had in the world as a model community of God’s followers. Alternate translation: “your chosen people”
1:6	ab63		rc://*/ta/man/translate/figs-gendernotations	And & am confessing on account of the sins of the sons of Israel that we have sinned against you	1	Here again **sons** means **descendants** and the phrase refers to the people of Israel. Alternate translation: “I must confess the sins that we, the people of Israel, have committed against you”
1:6	bxj6		rc://*/ta/man/translate/figs-metonymy	Even I and the house of my father, we have sinned	1	Among the Israelites, the expression **father’s house** or **house of the father** originally described an extended-family group who lived together. It later came to be used more generally to refer to a larger clan within a tribe. In this expression, the word **house** describes all the people descended from a particular person. The term views all of those descendants as if they were one household living together. However, since Nehemiah is stressing his sense of personal responsibility here and identifying closely with the people in this group, he may be using the term in its original sense to refer to his nearest relatives. Alternate translation: “Both I and my family have also sinned”
1:7	ab65		rc://*/ta/man/translate/figs-parallelism	With extreme corruption we have acted corruptly against you	1	The repetition here is used for emphasis. You do not need to repeat both phrases in your translation if that would be confusing for your readers. you could combine them into one phrase, with a word like **very** to convey emphasis. Alternate translation: “We have acted very corruptly toward you”
1:7	ryci		rc://*/ta/man/translate/figs-abstractnouns	With extreme corruption we have acted corruptly against you	1	You can translate the idea of the abstract noun **corruption** with a verb such as **sinned.** Alternate translation: “We have sinned very much against you”
1:7	ab67		rc://*/ta/man/translate/figs-doublet	the commandments, and the statutes, and the judgments	1	These three words mean basically the same thing. Nehemiah uses the repetition to emphasize how comprehensively the Israelites have disobeyed what God commanded them through Moses. If it would be helpful in your language, you could combine them into a single phrase. Alternate translation: “the law of Moses” otherwise “the commands and rules and laws” (Note: A doublet can involve the use of more than two words.)
1:7	brz7		rc://*/ta/man/translate/figs-explicit	that you commanded Moses your servant	1	Moses was the great leader who brought the Israelites out of slavery in Egypt centuries before and gave them God’s law. If it would be helpful in your language, you could say this explicitly. Alternate translation: “that you gave us many years ago through your servant Moses.”
1:8	pv64		rc://*/ta/man/translate/figs-idiom	Please remember	1	Here **remember** is an idiom that means to think about someone and consider what action you can take on their behalf. Nehemiah is not suggesting that God has forgotten the promise he made to Moses. Alternate translation: “Please think about”
1:8	y5jp		rc://*/ta/man/translate/figs-yousingular	the word that you commanded Moses your servant	1	The pronouns **you** and **your** refer to God and so are singular.
1:8	ab69			the word	1	This refers to a promise that God made while giving the law to the people of Israel through Moses. Alternate translation: “the promise”
1:8	b6qh		rc://*/ta/man/translate/figs-you	If you yourselves act unfaithfully	1	The pronouns **you** and **yourselves** refer to the Israelite people, and so they are plural. Alternate translation: “If you Israelites”
1:8	ab71		rc://*/ta/man/translate/figs-metaphor	If you yourselves act unfaithfully	1	Here infidelity in marriage is used as a figurative description of the people of Israel not keeping God’s commandments. Alternate translation: “If you Israelites do not keep my commandments”
1:8	evf5		rc://*/ta/man/translate/figs-explicit	I & will scatter you among the peoples	1	The implication is that God would do this to punish the Israelites for breaking his commandments. If it would be helpful in your language, you could say this explicitly. Alternate translation: “as a punishment, I will take you from your land and make you live among the other nations”
1:9	dqn5		rc://*/ta/man/translate/figs-you	But if you return to me and keep my commandments and do them, although your banished ones are	1	The pronouns **you** and **your** refer to the Israelite people, so they are plural.
1:9	ab75		rc://*/ta/man/translate/figs-metaphor	But if you return to me and keep my commandments and do them, although your banished ones are	1	**Return** is a figurative way of saying “become loyal again.” Alternate translation: “If you become loyal to me again”
1:9	ab77		rc://*/ta/man/translate/figs-parallelism	and keep my commandments and do them	1	These two statements mean similar things. They are used together for emphasis. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “start obeying my commandments once more”
1:9	ab79			your banished ones	1	This refers to the exile. Alternate translation: “all of you who were taken away”
1:9	f8jz		rc://*/ta/man/translate/figs-hyperbole	at the extremity of heaven	1	This means “the most distant point under the sky.” In this culture the sky was understood to be a solid dome with a flat earth beneath it. The phrase is describing a point beyond which no one could go any farther because they would have reached the edge of the dome of the sky. This is an overstatement because even from the perspective of this culture, no one could really reach such a point. Alternate translation: “places very far away”
1:9	ab81		rc://*/ta/man/translate/figs-123person	I will gather them and bring them	1	Since God is actually addressing the Israelites here, you can say “you” in the plural. Alternate translation: “I will bring you back”
1:9	ab83		rc://*/ta/man/translate/figs-parallelism	I will gather them and bring them	1	These two statements mean similar things. They are used together to emphasize that God will definitely keep this promise. If it would be helpful in your language, you could combine the phrases. Alternate translation: “I will bring you back”
1:9	ab85		rc://*/ta/man/translate/figs-personification	to the place where I have chosen to cause my name to dwell there	1	Here God’s name is spoken of as if it were capable of living in a place. The phrase indicates the place from which God chose to start making himself famous throughout the world. You can say something like that as an alternate translation.
1:9	lgh9		rc://*/ta/man/translate/figs-explicit	to the place where I have chosen to cause my name to dwell there	1	This phrase refers initially to Jerusalem because that was where God chose to put his temple. You could say that explicitly. Alternate translation: “to Jerusalem, where I have chosen for my name to remain”
1:9	w4qw		rc://*/ta/man/translate/figs-metonymy	to the place where I have chosen to cause my name to dwell there	1	Nehemiah is actually using this phrase to refer to all of Judah. As the book explains later, when the Jews returned there, they each settled in their own former towns, though one in ten of them were recruited to live in Jerusalem. So Judah is being described by something associated with it, the capital city. Alternate translation: “to your homeland of Judah.”
1:9	g88j		rc://*/ta/man/translate/figs-metonymy	my name	1	Here, **name** is a figurative way of referring to the fame or reputation of a person. Their fame is described by something associated with it, how well known their name is and how people react to hearing it. Alternate translation: “reputation”
1:10	mjx7		rc://*/ta/man/translate/figs-123person	And they are your servants and your people	1	The word **they** refers to the Israelite people. Since Nehemiah is speaking on their behalf and including himself, you could say “we” in your translation, If it would be helpful in your language. If your language marks the distinction, “we” should not include the addressee. Alternate translation: “we are your servants, your chosen people”
1:10	ab87		rc://*/ta/man/translate/figs-parallelism	And they are your servants and your people	1	As in [1:6](../01/06.md), **servants** refers to the special role that the people of Israel had as a model community of God’s followers. So these two phrases are basically saying the same thing. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “we are your chosen people”
1:10	ab89		rc://*/ta/man/translate/figs-explicit	whom you redeemed	1	This is a reference to the way God delivered the Israelites from slavery in Egypt. Alternate translation: “you rescued us from slavery in Egypt”
1:10	zu4s		rc://*/ta/man/translate/figs-doublet	by your great power and by your strong hand	1	These two phrases mean basically the same thing. Nehemiah uses the repetition to emphasize the intensity of Yahweh’s power. Alternate translation: “by your very great strength”
1:10	ax91		rc://*/ta/man/translate/figs-metaphor	and by your strong hand	1	Here, **hand** represents a person’s power, strength, or ability.
1:11	ab93		rc://*/ta/man/translate/figs-exclamations	Ah	1	As in [1:5](../01/05.md), Nehemiah uses this word to call on God with strong feeling. Alternate translation: “O”
1:11	ab95			My Lord, please let your ear be attentive to the prayer of your servant	1	Nehemiah calls himself a **servant** and he calls God his **Lord** because this is how a person in his culture would address a superior in order to show humility and respect. See how you translated this in [1:6](../01/06.md).
1:11	ab97		rc://*/ta/man/translate/translate-names	My Lord	1	This term in Hebrew can be understood as either a noun with a pronoun suffix (“my Lord”) or as a simple title (“Lord”).
1:11	ab99		rc://*/ta/man/translate/figs-metonymy	please let your ear be attentive	1	As in [1:6](../01/06.md), this phrase refers to the action of listening. Alternate translation: “please pay careful attention.”
1:11	jjm7		rc://*/ta/man/translate/figs-123person	the prayer of your servant	1	Alternate translation: “to my prayer”
1:11	j433			the prayer of your servants	1	Here, **servants** refers to the rest of the Israelite people who were also praying for Yahweh to act on behalf of his people and on behalf of Jerusalem. Alternate translation: “and to the prayers of my fellow Israelites”
1:11	hk3z		rc://*/ta/man/translate/figs-metonymy	the ones who delight to fear your name	1	Here, **name** represents Yahweh himself. Alternate translation: “who are glad to honor you” or “who are eager to uphold your reputation”
1:11	a11b		rc://*/ta/man/translate/figs-idiom	the ones who delight	1	To delight in doing something means to be glad to do it and to want to do it.
1:11	a13b			to fear	1	As in [1:5](../01/05.md), **fear** means to show respect and reverence.
1:11	a15b		rc://*/ta/man/translate/figs-123person	And please cause your servant to succeed today, and give him mercies	1	Once again Nehemiah calls himself a **servant** to show respect to a superior. He then refers to himself in the third person (“give him”) to express humility before God. Alternate translation: “make me successful today and let the king be merciful to me”
1:11	a17b		rc://*/ta/man/translate/figs-parallelism	And please cause your servant to succeed today, and give him mercies	1	These two statements mean similar things. Nehemiah says the same thing twice, in slightly different ways, to emphasize how important it is for him to have God’s help. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “grant that the king will have mercy on me”
1:11	a19b		rc://*/ta/man/translate/figs-idiom	today	1	This does not necessarily mean on this same day. Rather, Nehemiah is praying that God will give him the opportunity to speak with the king soon about helping the Jews in Jerusalem. Alternate translation: “soon”
1:11	kr99		rc://*/ta/man/translate/figs-123person	and give him mercies	1	Here, **him** refers to Nehemiah, who refers to himself in the third person to express his humility before God.
1:11	r7af		rc://*/ta/man/translate/figs-metaphor	before the face of this man	1	Here, **face** is a figurative way of referring to the action of seeing, and seeing is a figurative way of describing knowledge, perception, notice, attention, or judgment. In this context, Nehemiah is asking God to cause the king to make a favorable decision in response to a request he plans to make. Alternate translation: “Please grant that the king will agree to the request that I am going to make.”
1:11	a21b		rc://*/ta/man/translate/figs-explicit	this man	1	As we will discover in the next chapter, **this man** refers to Artaxerxes, the king of Persia. If it would be helpful to your readers, you could say this explicitly. Alternate translation: “the king”
1:11	h9hl		rc://*/ta/man/translate/writing-background	Now as for me, I was a cupbearer for the king	1	This is background information about Nehemiah’s role in the king’s court. Your language may have a special way to mark background information. As a “cupbearer,” it was Nehemiah’s duty to serve the wine at the king’s table, but he was much more than a waiter or butler. When the king gave him this assignment, this showed that he trusted Nehemiah completely to protect him from being poisoned. Nehemiah’s work also allowed him to see the king frequently and get to know him. So this was an important office. Alternate translation: “At that time, I was an important official who served the wine at the king’s table.”
2:intro	mj1d				0	# Nehemiah 2 General Notes\n\n## Structure and Formatting\n\nThis chapter begins the account of the construction of the wall. Many scholars believe these chapters teach valuable lessons on leadership ([Nehemiah 2–6](../02/01.md)).\n\n### Special concepts in this chapter\n\n### Nehemiah’s character\n\nApparently, Nehemiah’s character made an impression on the king. It was very unusual for a king to be so concerned with one of his servants. (See: [[rc://*/ta/man/translate/figs-explicit]])\n\n### Cultural Customs\n\nIn ancient Persia, people thought it was important for their conquered peoples to retain and practice their own cultural customs. It was thought that this independence promoted peace in their vast kingdom. The rebuilding of Jerusalem may have been seen as a way to allow for the Jewish cultural practices.\n\n### Yahweh’s control\n\nYahweh is seen as very powerful. He is able to provide for his people even through a foreign king. (See: [[rc://*/tw/dict/bible/kt/peopleofgod]])
2:1	a23b		rc://*/ta/man/translate/writing-newevent	And it happened that	1	Nehemiah uses this phrase to introduce the next event in his story. You do not need to represent it in your translation unless your language has a similar expression that it characteristically uses. Alternate translation: “Then one day”
2:1	a25b		rc://*/ta/man/translate/figs-explicit	in the month of Nisan, in year 20 of Artaxerxes the king	1	Since there were twelve months in the Hebrew calendar, and it was still the same year in the reign of Artaxerxes, this means that four months had gone by since Hanani came and spoke with Nehemiah. The implication is that Nehemiah had been praying all this time in the way described in chapter 1. If it would be helpful in your language, you could say this explicitly. Alternate translation: “I prayed like this for four months”
2:1	h3hu		rc://*/ta/man/translate/translate-hebrewmonths	in the month of Nisan	1	**Nisan** is the name of the first month of the Hebrew calendar.
2:1	l63f		rc://*/ta/man/translate/translate-ordinal	in year 20 of Artaxerxes the king	1	This is referring to the number of years that Artaxerxes had been reigning as king. Alternate translation: “in year 20 of the reign of Artaxerxes as the king of Persia”
2:1	k1vf			wine was before his face	1	**Him** means King Artaxerxes. Alternate translation: “when it was time to serve him the wine”
2:1	a24b		rc://*/ta/man/translate/figs-metaphor	wine was before his face	1	Here, **face** is a figurative way of referring to the presence of a person. This sentence means that a time had come when Nehemiah needed to serve wine to the king.
2:1	a29b			And I lifted the wine, and I gave it to the king	1	Alternate translation: “I poured a cup of wine and gave it to the king”
2:1	a31b		rc://*/ta/man/translate/figs-idiom	and I was not unpleasant before his face	1	In this context, **unpleasant** refers to a person looking sad or upset. Alternate translation: “I did not look sad in his presence”
2:1	a33b		rc://*/ta/man/translate/figs-explicit	and I was not	1	The context suggests that **I was not** actually means **I had never been.** It seems that King Artaxerxes always wanted his officials to be cheerful in his presence. That is why Nehemaiah became afraid when the king asked him why he was sad. If it would be helpful in your language, you could say “I had never been”
2:1	a38p		rc://*/ta/man/translate/figs-metaphor	before his face	1	Here, **face** is a figurative way of referring to the presence of a person. Alternate translation: “in his presence”
2:2	n5wy		rc://*/ta/man/translate/figs-explicit	And the king said to me	1	The king must have noticed that Nehemiah looked sad because he asked about it. If it would be helpful in your language, you could say this explicitly. Alternate translation: “But the king noticed that on this day I did look sad. So he asked me”
2:2	ue51		rc://*/ta/man/translate/figs-synecdoche	Why is your face unpleasant	1	The king refers to Nehemiah by one part of him, his **face**, because the face shows one’s emotions. Alternate translation: “Why are you sad”
2:2	a37b		rc://*/ta/man/translate/figs-idiom	Why is your face unpleasant	1	As in [2:1](../02/01.md), **unpleasant** refers to a person looking sad or upset. Alternate translation: “Why are you sad”
2:2	a39b			Now as for you, you are not sick	1	Alternate translation: “I can tell that you are not sick.”
2:2	g1k7		rc://*/ta/man/translate/figs-personification	This is nothing except unpleasantness of heart	1	This phrase means **sadness of heart.** The king speaks as if Nehemiah’s heart were a living thing capable of having emotions. Alternate translation: “You must be very sad inside”
2:2	a41b		rc://*/ta/man/translate/figs-doublenegatives	This is nothing except unpleasantness of heart	1	You can state this in a positive form: Alternate translation: “This can only be sadness”
2:2	eyt8		rc://*/ta/man/translate/figs-explicit	And I was extremely much afraid	1	The implication is that Nehemiah was very afraid because no one was supposed to look unhappy in the king’s presence. If it would be helpful in your language, you could say this explicitly. Alternate translation: “This made me very afraid, because no one was supposed to look unhappy in the king’s presence”
2:3	qz4i		rc://*/ta/man/translate/figs-hyperbole	May the king live to eternity	1	Nehemiah is showing honor to King Artaxerxes. Here, **to eternity** is an exaggeration that refers to a long life. Alternate translation: “Long live the king” or “May you have a long life”
2:3	a43b		rc://*/ta/man/translate/figs-123person	May the king live to eternity	1	Nehemiah addresses the king in the third person as a sign of respect. You can indicate this respect by adding an expression such as “Your Majesty.”
