Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:4	pz5c		rc://*/ta/man/translate/figs-explicit	life	1	Here it is best to use a general term for **life**. (See: [[rc://*/tw/dict/bible/kt/life]]) If you must use a more specific word, consider that **life** here could refer to: (1) eternal life, which is the meaning John uses for this term throughout this Gospel. Alternate translation: “the means of receiving eternal life” (2) physical life, which would mean that this verse continues the discussion about the creation of the universe in the previous verses. Alternate translation: “the life of all living things” (3) both physical life and eternal life. Alternate translation: “the life of all living things and the source of eternal life”
1:4	ffbw		rc://*/ta/man/translate/figs-explicit	and the life	1	Here, **the life** refers to the same life stated in the previous phrase. If this might confuse your readers, you could express the meaning explicitly. Alternate translation: “and that life”
1:4	dpeb		rc://*/ta/man/translate/figs-metaphor	the light of men	1	Here John uses **light** to refer to God’s truth and goodness. If this might confuse your readers, you could express the meaning plainly. Alternate translation: “the true and good things God has for men”
1:4	saci		rc://*/ta/man/translate/figs-possession	the light of men	1	John uses **of** to indicate to whom the **light** is given. If this is not clear in your language, you could use a different expression. Alternate translation: “the light given to men”
1:4	jzwk		rc://*/ta/man/translate/figs-gendernotations	of men	1	Although the term **men** is masculine, John is using the word here in a generic sense that includes both men and women. Alternate translation: “of people”
1:5	dgin		rc://*/ta/man/translate/figs-metaphor	the light shines	1	John uses **the light shines** to refer to God’s truth and goodness being revealed as if it were a light shining. This truth and goodness was revealed to the world by Jesus. He is the embodiment of God’s truth and goodness. If it would be helpful in your language, you could express the meaning plainly or with a simile. Alternate translation: “God reveals his truth and goodness” or “God’s truth and goodness is like a light that shines”
1:5	y5ry		rc://*/ta/man/translate/figs-metaphor	in the darkness, and the darkness	1	Here John uses **darkness** to refer to what is false and evil. It is the spiritual **darkness** of the people in the world who do not love Jesus. If it would be helpful in your language, you could express the meaning plainly or with a simile. Alternate translation: “in the false and evil world, and that evil world” or “in the evil world that is like a dark place, and that dark place”
1:5	w9ni			did not overcome it	1	Here the word translated **overcome** could also be translated as “understand.” It could mean: (1) the evil forces in the world did not conquer God’s truth and goodness. Alternate translation: “did not conquer it” (2) the people in the world who don’t know God do not understand his truth and goodness. Alternate translation: “did not comprehend it” (3) the evil forces of this world neither conquered nor understood God’s truth and goodness. Alternate translation: “did not conquer or comprehend it”
1:5	yv8l		rc://*/ta/man/translate/writing-pronouns	did not overcome it	1	Here, **it** refers to the light mentioned earlier in the verse. If it would be helpful in your language, you could state this explicitly. Alternate translation: “did not overcome the light”
1:6	qa1s		rc://*/ta/man/translate/figs-activepassive	having been sent from God	1	If your language does not use the passive form in this way, you could express the idea in active form or in another way that is natural in your language. Alternate translation, as in the UST: “whom God has sent”
1:6	gih6		rc://*/ta/man/translate/figs-explicit	was} John	1	Here, **John** refers to Jesus’ cousin, often referred to as “John the Baptist.” (See: rc://*/tw/dict/bible/names/johnthebaptist) It does not refer to the apostle John, who wrote this Gospel. If this might confuse your readers, you could express the meaning explicitly. Alternate translation: “John the Baptist” or “John the Immerser”
1:7	mtlb		rc://*/ta/man/translate/writing-pronouns	He	1	**He** here refers to John the Baptist, who was introduced in the previous verse. If it would be helpful in your language, you could state this explicitly. Alternate translation: “John the Baptist” or “John the Immerser”
1:7	mht8		rc://*/ta/man/translate/figs-metaphor	about the light	1	Here John uses **light** to refer to the revelation of God’s truth and goodness in Jesus. If it would be helpful in your language, you could express the meaning plainly. Alternate translation: “about Jesus, who revealed the true and good things of God”
1:7	cdl5			through him	1	Here, **through him** indicates the means by which everyone might believe in the light. If it would be helpful in your language, you could state this explicitly. Alternate translation: “by means of him”
1:8	pn9t		rc://*/ta/man/translate/writing-pronouns	That one	1	**That one** here refers to John the Baptist. If it would be helpful in your language, you could state this explicitly. Alternate translation: “John the Baptist” or “John the Immerser”
1:8	kbwh		rc://*/ta/man/translate/figs-metaphor	the light, & the light	1	See how you translated **light** in the previous verse. Alternate translation: “Jesus, who revealed the true and good things of God … Jesus”
1:9	xe1z		rc://*/ta/man/translate/figs-metaphor	The true light, which	1	Here John uses **light** to refer to Jesus as the one who both reveals the truth about God and is himself that truth. If it would be helpful in your language, you could express the meaning plainly. Alternate translation: “Jesus, who truly embodied God’s truth, who”
1:9	rbsj		rc://*/ta/man/translate/figs-metaphor	which gives light to all men	1	Here, John uses **light** to refer to God’s truth and goodness. If this might confuse your readers, you could express the meaning plainly. Alternate translation: “which reveals the true and good things of God to all men”
1:9	u00s		rc://*/ta/man/translate/figs-gendernotations	men	1	Although the term **men** is masculine, John is using the word here in a generic sense that includes both men and women. Alternate translation: “people”
1:10	c2ne		rc://*/ta/man/translate/writing-pronouns	He was & through him, & him	1	**He** and **him** in this verse refer to Jesus. If it would be helpful in your language, you could state this explicitly. Alternate translation: “Jesus was … through Jesus … Jesus”
1:10	io8w		rc://*/ta/man/translate/figs-metonymy	in the world	1	Here, **world** refers to the earth on which people live. It does not refer only to the people in the world or to the entire universe. If this might confuse your readers, you could express the meaning plainly. Alternate translation: “on the earth”
1:10	krcb		rc://*/ta/man/translate/figs-metonymy	the world	1	Here, **world** refers to the universe God created. It does not refer only to the people in the world or only to the earth. If this might confuse your readers, you could express the meaning plainly. Alternate translation: “the whole universe”
1:10	b93e		rc://*/ta/man/translate/grammar-connect-logic-contrast	and the world did not know him	1	Here, **and** introduces a contrast between what was expected, that the world would recognize its Creator, and what happened, that the world did to do that. Use a natural way in your language for introducing a contrast. Alternate translation: “but the world did not know him” or “yet the world did not know him”
1:10	ke5s		rc://*/ta/man/translate/figs-metonymy	the world	2	Here, **world** refers to the people who lived in it. If this might confuse your readers, you could express the meaning plainly. Alternate translation: “the people in the world”
1:10	t1qv			did not know	1	Alternate translation: “did not acknowledge”
1:11	jvgs		rc://*/ta/man/translate/figs-explicit	his own, & his own	1	Here, **his own** could refer to: (1) his own people, the nation of Israel. Alternate translation: “his fellow Jews … his fellow Jews” (2) his own creation. Alternate translation: “the people he created … the people he created”
1:11	h13y		rc://*/ta/man/translate/grammar-connect-logic-contrast	and	1	Here, **and** introduces a contrast between what was expected, that his own people would know their Messiah, and what happened, that his own people did not do that. Use a natural way in your language for introducing a contrast. Alternate translation: “but”
1:11	va1w			did not receive him	1	Here, **receive** means to accept a person into one’s presence with friendliness. Alternate translation: “did not accept him” or “did not welcome him”
1:12	pvtl		rc://*/ta/man/translate/figs-infostructure	But as many as received him, he gave to them the authority to become children of God, to the ones believing in his name	1	If it would be natural in your language, you could change the order of these phrases. You will also need to adjust some words to fit the new order. Alternate translation: “But as many as received him and believed in his name, he gave to them the authority to become children of God”
1:12	ijje			received him	1	Here, **received** means to accept a person into one’s presence with friendliness. See how you translated this word in the previous verse. Alternate translation: “accepted him” or “welcomed him”
1:12	x4f9			he gave to them the authority	1	Here, the word translated **authority** means either the right or ability to do something. Alternate translation: “he gave to them the right” or “he made it possible for them”
1:12	uc6e		rc://*/ta/man/translate/figs-metaphor	children of God	1	Here John uses **children** to refer to people who love and obey God. The relationship between God and those who love him is like the relationship between a father and his children. Because this is an important concept in the Bible, you should not state the meaning plainly here, but you may use a simile. Alternate translation: “like children who have God as their father”
1:12	jp3y		rc://*/ta/man/translate/figs-metonymy	believing in his name	1	Here John uses **name** to refer to Jesus’ identity and everything about him. If this might confuse your readers, you could express the meaning plainly. Alternate translation: “who believed in him”
1:13	no4j		rc://*/ta/man/translate/figs-explicit	the ones	1	Here **the ones** here refers to the children of God mentioned in the previous verse. If it would be misunderstood for your readers, you could state this explicitly, as in the UST.
1:13	ygxb		rc://*/ta/man/translate/figs-metaphor	the ones not born from bloods	1	John uses **born** to describe God changing a person from being spiritually dead to being spiritually alive when they believe in Jesus. John recorded Jesus referring to this change as being “born again” in [3:3](../03/03.md). (See: [[rc://*/tw/dict/bible/kt/bornagain]]) If it would be helpful in your language, you could use an expression that indicates spiritual rebirth rather than physical birth. Alternate translation: “These were born spiritually, not from blood”
1:13	k24g		rc://*/ta/man/translate/figs-metaphor	not born from bloods	1	Here, **bloods** refers to the bloodlines or genetic contributions of both parents of a child. If this might confuse your readers, you could express the meaning plainly. Alternate translation: “were not born from human bloodlines” or “were not born from human decent”
1:13	it6r			from	1	Here, **from** could refer to any of the following: (1) the means by which God’s children are born. Alternate translation, as in the UST: “by” (2) the source from which God’s children are born. Alternate translation: “of” (3) the cause of the birth of God’s children. Alternate translation: “as a result of”
1:13	jtjr		rc://*/ta/man/translate/figs-ellipsis	nor from the will of the flesh	1	John is leaving out some of the words that this phrase would need in many languages in order to be complete. If it would be helpful in your language, you could supply these words from earlier in the sentence. Alternate translation: “nor were they born from the will of the flesh”
1:13	oj53			from	1	Here, **from** could refer to any of the following: (1) the means by which God’s children are born. Alternate translation, as in the UST: “by” (2) the source from which God’s children are born. Alternate translation: “of” (3) the cause of the birth of God’s children. Alternate translation: “as a result of”
1:13	kqdf		rc://*/ta/man/translate/figs-metonymy	from the will of the flesh	1	Here John is using the term **flesh** to refer to a human being, which is made of flesh. If this might confuse your readers, you could express the meaning plainly. Alternate translation: “from the human will”
1:13	jjyp		rc://*/ta/man/translate/figs-ellipsis	nor from the will of a man	1	John is leaving out some of the words that this phrase would need in many languages in order to be complete. If it would be helpful in your language, you could supply these words from earlier in the sentence. Alternate translation: “nor were they born from the will of man”
1:13	v4t0			from	2	Here, **from** could refer to any of the following: (1) the means by which God’s children are born. Alternate translation, as in the UST: “by” (2) the source from which God’s children are born. Alternate translation: “of” (3) the cause of the birth of God’s children. Alternate translation: “as a result of”
1:13	pbur			from the will of a man	1	The term **a man** used here refers specifically to an adult male person and may also be translated “husband.” In this verse it refers to a father’s desire to have a child like himself. Alternate translation: “from the will of a husband”
1:13	bljo		rc://*/ta/man/translate/figs-ellipsis	but from God	1	John is leaving out some of the words that this phrase would need in many languages in order to be complete. If it would be helpful in your language, you could supply these words from earlier in the sentence. Alternate translation: “but they were born from God”
1:13	yo2q			from	3	Here, **from** could refer to any of the following: (1) the means by which God’s children are born. Alternate translation, as in the UST: “by” (2) the source from which God’s children are born. Alternate translation: “of” (3) the cause of the birth of God’s children. Alternate translation: “as a result of”
1:14	ft2l		rc://*/ta/man/translate/figs-explicit	the Word	1	Here, **the Word** refers to Jesus. It does not refer to a spoken word. ULT indicates this by capitalizing **Word** to indicate that this is a title for Jesus. Use whatever convention your language uses to indicate that this is a name. If “word” is feminine in your language, it could be translated as “the one who is called the Word.” See how you translated this phrase in [John 1:1](../01/01.md). Alternate translation: “Jesus, the Word”
1:14	x1ae		rc://*/ta/man/translate/figs-synecdoche	became flesh	1	Here, **flesh** represents “a person” or “a human being.” If this might confuse your readers, you could express the meaning plainly. Alternate translation: “became human” or “became a human being”
1:14	fais		rc://*/ta/man/translate/figs-exclusive	us, and we beheld	1	Here the pronouns **us** and **we** are exclusive since John is speaking on behalf of himself and the other eyewitnesses to the earthly life of Jesus, but the people to whom he is writing did not see Jesus. Your language may require you to mark this form.
1:14	z37d		rc://*/ta/man/translate/figs-abstractnouns	his glory, glory	1	If your language does not use an abstract noun for the idea of **glory**, you could express the same idea in another way. Alternate translation: “his glorious character, the glorious character”
1:14	x8l3		rc://*/ta/man/translate/figs-explicit	of the One and Only from the Father	1	The phrase **the One and Only** refers to Jesus. If this might confuse your readers, you could express the meaning explicitly. Alternate translation: “of the One and Only from the Father, Jesus,”
1:14	wa23			of the One and Only	1	Here and throughout John’s Gospel, the phrase **the One and Only** is a title for Jesus that could refer to: (1) Jesus being unique as the only member of his kind. Alternate translation: “the Unique One” (2) Jesus being the only child of his Father. Alternate translation: “the Only Begotten One”
1:14	zirk			from the Father	1	The phrase **from the Father** means that Jesus came from the presence of God the Father to the world. Alternate translation, as in the UST: “who came from the Father”
1:14	b5t5		rc://*/ta/man/translate/guidelines-sonofgodprinciples	the Father	1	**Father** is an important title for God.
1:14	tg4m		rc://*/ta/man/translate/figs-metaphor	full of grace and truth	1	Here, John uses **full of** to describe Jesus fully possessing a quality, as if grace and truth were objects that could fill a person. If this might confuse you readers, you could express the meaning plainly. Alternate translation: “fully possessing grace and truth”
1:14	c3b4		rc://*/ta/man/translate/figs-abstractnouns	full of grace and truth	1	If your language does not use abstract nouns for the ideas of **grace** and **truth**, you could express the same ideas in other ways. Alternate translation: “full of God’s gracious and faithful character” or “full of kind acts and true teachings”
1:15	xduu		rc://*/ta/man/translate/figs-pastforfuture	John testifies about him	1	To call attention to a development in the story, John uses the present tense in past narration. If it would not be natural to do that in your language, you can use the past tense in your translation. Alternate translation: “John testified about him”
1:15	qxgz		rc://*/ta/man/translate/writing-quotations	and has cried out, saying	1	Consider natural ways of introducing direct quotations in your language. Alternate translation: “and has cried out, and he said”
1:15	yfuv		rc://*/ta/man/translate/figs-quotesinquotes	This was the one of whom I said, ‘The one coming after me has become greater than me, for he was before me	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “This was the one I said would come after me, and who would be greater than me for he was before me”
1:15	k7rm			The one coming after me	1	Here, John is speaking about Jesus. The phrase **coming after me** means that John’s ministry has already started, and Jesus’ ministry will start later. If it would be helpful to your readers, you could state this explicitly. Alternate translation: “He who starts his ministry after I have done so”
1:15	q75h			has become greater than me	1	Here, **greater** refers to being more important or having a superior position. Alternate translation: “is more important than I am” or “is superior to me”
1:15	lrd7			for he was before me	1	Here, **before me** means that Jesus existed earlier in time than John. This does not mean that Jesus is more important because he is older than John in human years. Jesus is greater and more important than John because he is God the Son, who has always existed. Alternate translation: “for he existed before I was born”
1:16	punh		rc://*/ta/man/translate/grammar-connect-logic-result	For	1	**For** here introduces the reason why John said that Jesus is “full of grace and truth” in verse [14](../01/14.md). Alternate translation: “We can say that Jesus is full of grace and truth because”
1:16	iriv		rc://*/ta/man/translate/writing-pronouns	his	1	Here, **his** refers to Jesus. If it would be helpful in your language, you could state this explicitly. Alternate translation: “Jesus’”
1:16	p3zg		rc://*/ta/man/translate/figs-abstractnouns	his fullness	1	Here, **fullness** refers to the grace and truth which John said Jesus was full of in verse [14](../01/14.md). If your language does not use an abstract noun for the idea of **fullness**, you could express the same idea in another way. Alternate translation: “what he is full of” or “his full amount of grace and truth”
1:16	vmyz		rc://*/ta/man/translate/figs-exclusive	we have all received	1	Here, **we** refers to John and all believers. Your language may require you to mark this form. Alternate translation: “all of we believers have received”
1:16	yrg8			have all received even grace	1	Here, **even** indicates that “grace after grace” explains what “his fullness” means. Alternate translation: “have all received, that is, grace” or “have all received, namely, grace”
1:16	b9r1		rc://*/ta/man/translate/figs-abstractnouns	grace after grace	1	If your language does not use an abstract noun for the idea of **grace**, you could express the same idea in another way. Alternate translation: “kind act after kind act”
1:16	avst			grace after grace	1	Here, **after** could mean: (1) the second “grace” replaces the first “grace,” which is the most common use for this word. This meaning could indicate that the first “grace” refers to “the law” and the second “grace” refers to “Grace and truth” in the next verse. Alternate translation: “grace in place of grace” or “grace instead of grace” (2) the second “grace” is in addition to the first “grace.” Alternate translation: “grace in addition to” or “grace upon grace”
1:17	iata		rc://*/ta/man/translate/grammar-connect-logic-contrast	the law was given through Moses. Grace and truth came about through Jesus Christ	1	John placed the two sentences in this verse next to each other without any connecting word in order to show a contrast between the law of Moses and the grace and truth of Jesus. This does not mean that the law of Moses did not have grace and truth. Rather, John is indicating that the grace and truth revealed by Jesus is more complete than that revealed in the law of Moses. Although God revealed himself and his will through the law of Moses, he did so much more clearly though Jesus, who is God in human form. Alternate translation: “the law was given through Moses. In contrast, grace and truth came about through Jesus Christ”
1:17	xsbj		rc://*/ta/man/translate/figs-activepassive	the law was given through Moses	1	If your language does not use the passive form in this way, you could express the idea in active form or in another way that is natural in your language. If you must state who did the action, John implies that God did it. Alternate translation: “God gave the law through Moses”
1:17	kup2		rc://*/ta/man/translate/grammar-collectivenouns	the law was given	1	The word **law** is a singular noun that refers to the many laws and instructions that God gave to the Israelites. If your language does not use singular nouns in that way, you can use a different expression. Alternate translation: “the group of laws was given” or “God’s laws were given”
1:17	vm1h		rc://*/ta/man/translate/figs-abstractnouns	Grace and truth	1	If your language does not use abstract nouns for the ideas of **grace** and **truth**, you could express the same ideas in other ways. Alternate translation: “God’s gracious and faithful character” or “Kind acts and true teachings”
1:18	vf9q			The One and Only God	1	Here and throughout John’s Gospel, the phrase **the One and Only** is a title for Jesus that could refer to: (1) Jesus being unique as the only member of his kind. Alternate translation: “the Unique God” (2) Jesus being the only child of his Father. Alternate translation: “the Only Begotten God”
1:18	r1la			The One and Only God	1	Here, **God** indicates that Jesus, who is called **the One and Only**, is God. If it would be misunderstood to your readers, you could state this explicitly. Alternate translation: “the One and Only, who is God”
1:18	rflq		rc://*/ta/man/translate/figs-idiom	the one being in the bosom of the Father	1	Here, **in the bosom of** is an idiom that refers to having a close and intimate relationship with someone. If your readers would not understand this, you could use an equivalent idiom or use plain language. Alternate translation: “who has a close relationship with the Father”
1:18	h5cq		rc://*/ta/man/translate/guidelines-sonofgodprinciples	of the Father	1	**Father** is an important title for God.
1:18	kmqm		rc://*/ta/man/translate/writing-pronouns	that one	1	Here, **that one** refers to Jesus in an emphatic way. If it would be helpful in your language, you could state this explicitly. Alternate translation: “Jesus himself”
1:18	zc8g		rc://*/ta/man/translate/writing-pronouns	has made {him} known	1	Here, **him** is not in the original text, but is necessary for English. It refers to God the Father. If it would be helpful in your language, you could state this explicitly. Alternate translation: “has made the Father known”
1:18	pmw5			has made {him} known	1	Here, the word translated **has made him known** refers to making people know something by explaining or revealing it clearly. Alternate translation: “has explained him” or “has fully revealed him”
