Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
1:3	vhj8			κράτιστε	most excellent	1	Luke uses the term **most excellent** to address Theophilus in a way that shows honor and respect. This may mean that Theophilus was an important government official. In your translation, it would be appropriate to use the form of address that your culture uses for people of high status. Alternate translation: “Honorable”
1:3	h7q1		rc://*/ta/man/translate/translate-names	Θεόφιλε	Theophilus	1	The name **Theophilus** means “friend of God.” It may describe this man’s character, or it may have been his actual name. Most translations treat it as a name.
1:4	l002		rc://*/ta/man/translate/figs-activepassive	ὧν κατηχήθης λόγων	the things that you have been taught	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “what people have taught you”
1:4	l003		rc://*/ta/man/translate/figs-explicit	ὧν κατηχήθης λόγων	the things that you have been taught	1	Luke assumes that Theophilus will know that he means what he has been **taught** about Jesus. Alternate translation: “what people have taught you about Jesus”
1:5	gb16		rc://*/ta/man/translate/writing-newevent	ἐν ταῖς ἡμέραις Ἡρῴδου βασιλέως τῆς Ἰουδαίας	In the days of Herod, king of Judea	1	This time reference introduces a new event. Alternate translation: “During the time when King Herod ruled over Judea”
1:5	l004		rc://*/ta/man/translate/figs-idiom	ἐν ταῖς ἡμέραις	In the days	1	Here, Luke uses the term **days** to refer to a particular period of time. Alternate translation: “During the time when”
1:5	a4q9		rc://*/ta/man/translate/writing-participants	ἐγένετο & ἱερεύς τις	there was a certain priest	1	This phrase introduces a new character in a story. If your language has an expression of its own that serves this purpose, you could use it here.
1:5	l228		rc://*/ta/man/translate/figs-explicit	ἐξ ἐφημερίας Ἀβιά	from the division of Abijah	1	Luke assumes that his readers will know that this expression refers one of the different groups of priests who each served in the temple for a certain number of days at a time, and that the name of the group means that Abijah was the ancestor of these priests. Alternate translation: “who belonged to the group of priests who were descended from Abijah”
1:5	gzw1		rc://*/ta/man/translate/translate-names	Ἀβιά	of Abijah	1	**Abijah** is the name of a man.
1:5	d3ua		rc://*/ta/man/translate/figs-metaphor	γυνὴ αὐτῷ ἐκ τῶν θυγατέρων Ἀαρών	his wife {was} from the daughters of Aaron	1	Here, the word **daughters** means “descendants.” Alternate translation: “his wife was a descendant of Aaron”
1:5	nnu9		rc://*/ta/man/translate/figs-explicit	ἐκ τῶν θυγατέρων Ἀαρών	was} from the daughters of Aaron	1	This means implicitly that she, like Zechariah, was descended from the line of priests going back to Aaron, the first high priest. Alternate translation: “his wife also came from the line of priests”
1:6	uu87		rc://*/ta/man/translate/figs-metaphor	ἐναντίον τοῦ Θεοῦ	in front of God	1	Luke uses this expression to mean “where God could see them.” Seeing, in turn, means attention and judgment. Alternate translation: “in God’s judgment”
1:6	l009		rc://*/ta/man/translate/figs-metaphor	πορευόμενοι ἐν πάσαις ταῖς ἐντολαῖς καὶ δικαιώμασιν τοῦ Κυρίου	walking & in all the commandments and statutes of the Lord	1	The term **walking** means “obeying.” Alternate translation: “obeying … everything that the Lord had commanded”
1:6	csc9		rc://*/ta/man/translate/figs-doublet	πάσαις ταῖς ἐντολαῖς καὶ δικαιώμασιν τοῦ Κυρίου	all the commandments and statutes of the Lord	1	The words **commandments** and **statutes** mean similar things. Luke uses the two terms together to make a comprehensive statement. You do not need to repeat both words in your translation if that might be confusing for your readers. Alternate translation: “everything that the Lord had commanded”
1:7	c7cj		rc://*/ta/man/translate/grammar-connect-logic-contrast	καὶ	But	1	The word **But** indicates a contrast, showing that what follows is the opposite of what would be expected. People expected that if they did what was right, God would allow them to have children. Although this couple did what was right, they did not have any children.
1:7	l010		rc://*/ta/man/translate/figs-idiom	ἀμφότεροι προβεβηκότες ἐν ταῖς ἡμέραις αὐτῶν	both advanced in their days	1	To have moved forward or to have **advanced** means to have aged. Alternate translation: “they had both grown old”
1:7	l011		rc://*/ta/man/translate/figs-idiom	ἀμφότεροι προβεβηκότες ἐν ταῖς ἡμέραις αὐτῶν	both advanced in their days	1	Here, Luke uses the term **days** to refer to a particular time, the lifetimes of Zechariah and Elizabeth. Alternate translation: “they had both grown old”
1:8	jr7f		rc://*/ta/man/translate/writing-newevent	ἐγένετο δὲ	And it happened that	1	This phrase marks a shift from the background information that Luke has been providing about the participants to the first event in their story. If your language has a similar expression that it uses to introduce an event, you could use it here in your translation.
1:8	l012		rc://*/ta/man/translate/grammar-connect-logic-result	ἐν τῷ ἱερατεύειν αὐτὸν, ἐν τῇ τάξει τῆς ἐφημερίας αὐτοῦ	in his performing as priest & in the order of his division	1	If it would be helpful in your language, you could reverse the order of these phrases, since the second phrase gives the reason for the results that the first phrase describes. Alternate translation: “because it was his group’s turn, Zechariah was serving as a priest”
1:8	vyl8		rc://*/ta/man/translate/figs-metaphor	ἐν τῷ ἱερατεύειν αὐτὸν & ἔναντι τοῦ Θεοῦ	in his performing as priest before God	1	The expression **before God**, that is, “in front of God,” means that Zechariah was offering his service as a priest in the presence of God. Alternate translation: “while Zechariah was serving God as a priest”
1:8	abc1		rc://*/ta/man/translate/writing-pronouns	ἐν τῷ ἱερατεύειν αὐτὸν	in his performing as priest	1	The pronoun **his** refers to Zechariah. Alternate translation: “while Zechariah was serving as a priest”
1:8	wed9		rc://*/ta/man/translate/writing-background	ἐν τῇ τάξει τῆς ἐφημερίας αὐτοῦ	in the order of his division	1	This is background information that explains why Zechariah was serving as a priest at this time. Alternate translation: “because it was his group’s turn to serve”
1:9	vq5g		rc://*/ta/man/translate/writing-background	κατὰ τὸ ἔθος τῆς ἱερατείας, ἔλαχε	according to the custom of the priesthood, he came up by lot	1	Luke is providing background information about how the priests selected members of their group to perform specific duties. Alternate translation: “The priests chose him in their customary way, by casting a lot”
1:9	pa9c		rc://*/ta/man/translate/translate-unknown	ἔλαχε	he came up by lot	1	A **lot** was a marked stone that was thrown or rolled on the ground in order to help decide something. The priests believed that God would guide the lot and show them which priest he wanted them to choose for a particular duty. If your culture has a similar object, you could use the word for that in your language here. Alternate translation: “by casting a marked stone”
1:9	l013		rc://*/ta/man/translate/grammar-connect-logic-result	τοῦ θυμιᾶσαι, εἰσελθὼν εἰς τὸν ναὸν τοῦ Κυρίου	to enter into the temple of the Lord to burn incense	1	The ULT puts these phrases in the chronological order of what Zechariah needed to do. If it would be helpful in your language, you could put them in logical order instead. Alternate translation: “to burn incense, and so he went into the temple to do that”
1:9	ph9z		rc://*/ta/man/translate/translate-unknown	τοῦ θυμιᾶσαι	to burn incense	1	The word **incense** describes a substance that gives off a sweet smell when it is burned. The priests were to burn it as an offering to God each morning and evening on a special altar inside the temple. If your language has a word for this substance, you could use it here. Alternate translation: “to burn a substance that would create a sweet smell as an offering to God”
1:10	bjl6		rc://*/ta/man/translate/figs-hyperbole	πᾶν τὸ πλῆθος & τοῦ λαοῦ	the whole crowd of the people	1	This expression, if taken literally, could mean every single one of the Jews, but it is actually a generalization that Luke is using to emphasize how big this crowd was. Alternate translation: “A large number of people”
1:10	ntl8		rc://*/ta/man/translate/figs-explicit	ἔξω	outside	1	The word **outside** refers implicitly to the enclosed area or courtyard that surrounded the temple. Alternate translation: “in the courtyard outside the temple building”
1:10	uwu7		rc://*/ta/man/translate/figs-metaphor	τῇ ὥρᾳ τοῦ θυμιάματος	at the hour of the incense offering	1	The word **hour** means “time.” This could mean either the morning or evening time for the incense offering. Alternate translation: “when it was time to offer the incense”
1:11	b8b7		rc://*/ta/man/translate/grammar-connect-time-simultaneous	δὲ	Then	1	The word **Then** indicates that the event it introduces took place at the same time as the event the story has just related. If it would be helpful in your language, you could show this relationship by using a phrase such as “right at that time.”
1:11	c8ss		rc://*/ta/man/translate/figs-idiom	ὤφθη & αὐτῷ	appeared to him	1	When Luke says that the angel **appeared**, this does not mean that Zechariah simply saw the angel in a vision. Rather, this expression indicates that the angel was actually present with Zechariah. Alternate translation: “suddenly was there with Zechariah”
1:12	r3aa		rc://*/ta/man/translate/figs-parallelism	ἐταράχθη Ζαχαρίας ἰδών, καὶ φόβος ἐπέπεσεν ἐπ’ αὐτόν	Zechariah was troubled, having seen {him}, and fear fell on him	1	The two phrases **Zechariah was troubled** and **fear fell on him** mean similar things. Luke is using them together to emphasize how afraid Zechariah was. If it would be helpful in your language, you could combine these phrases. Alternate translation: “When he saw him, Zechariah became very afraid”
1:12	d1zm		rc://*/ta/man/translate/figs-explicit	ἰδών	having seen {him	1	The implication is that Zechariah was afraid because the angel appeared glorious and powerful. If it would be helpful to your readers, you could state that explicitly. (Luke has just said that Zechariah was righteous and blameless, so it would be good not to leave your readers with the impression that he had done something wrong and was afraid that the angel was going to punish him for it.) Alternate translation: “when he saw how glorious and powerful the angel was”
1:12	l014		rc://*/ta/man/translate/figs-metaphor	φόβος ἐπέπεσεν ἐπ’ αὐτόν	fear fell on him	1	Luke is using the expression **fell upon** to speak of fear as if it attacked and overcame Zechariah. Alternate translation: “this made him very afraid”
1:12	sfb1		rc://*/ta/man/translate/figs-personification	φόβος ἐπέπεσεν ἐπ’ αὐτόν	fear fell on him	1	Luke describes Zechariah’s **fear** as if it were something that could actively attack and overpower him. Alternate translation: “this made him very afraid”
1:13	ki8l		rc://*/ta/man/translate/figs-imperative	μὴ φοβοῦ	Do not be afraid	1	While the angel speaks these words in the form of a command, he is actually telling Zechariah something to help and encourage him. Alternate translation: “You do not need to be afraid”
1:13	es4l		rc://*/ta/man/translate/figs-activepassive	εἰσηκούσθη ἡ δέησίς σου	your prayer has been heard	1	If it would be helpful in your language, you could express this with an active form, and you could state who has done the action. Alternate translation: “God has heard your prayer”
1:13	l015		rc://*/ta/man/translate/figs-idiom	εἰσηκούσθη ἡ δέησίς σου	your prayer has been heard	1	This is an idiom that means that God is going to give Zechariah what he has been asking for. Alternate translation: “God is going to give you what you have been asking for”
1:13	l016		rc://*/ta/man/translate/figs-declarative	καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰωάννην	and you will call his name John	1	The angel is using a statement as a command in order to tell Zechariah what to do. Alternate translation: “and you are to name him John”
1:13	l017		rc://*/ta/man/translate/figs-idiom	καλέσεις τὸ ὄνομα αὐτοῦ Ἰωάννην	you will call his name John	1	The expression **call his name** is an idiom that means to give a child a name. Alternate translation: “name him John”
1:14	n654		rc://*/ta/man/translate/figs-doublet	ἔσται χαρά σοι καὶ ἀγαλλίασις	there will be joy and gladness to you	1	The words **joy** and **gladness** mean the same thing. The angel uses them together for emphasis. Alternate translation: “you will be very happy”
1:14	q1p8		rc://*/ta/man/translate/grammar-connect-logic-result	ἐπὶ τῇ γενέσει αὐτοῦ	at his birth	1	The word **at** introduces the reason why many people will rejoice. Alternate translation: “because he has been born”
1:15	td57		rc://*/ta/man/translate/grammar-connect-logic-result	ἔσται γὰρ μέγας	For he will be great	1	The word **For** introduces the reason why people will rejoice at John's birth. Alternate translation: “This will be because they will be able to tell that he is going to be a great man”
1:15	sz79		rc://*/ta/man/translate/figs-metaphor	ἔσται γὰρ μέγας ἐνώπιον τοῦ Κυρίου	For he will be great before the Lord	1	The expression **before the Lord** means “in front of the Lord,” that is, “where the Lord can see him.” Sight, in turn, represents attention and judgment. Alternate translation: “God will consider him to be very important”
1:15	abc2		rc://*/ta/man/translate/figs-doublenegatives	οὐ μὴ πίῃ	he must never drink	1	The phrase **must never** translates two negative words in Greek. The angel uses them together to emphasize how important it is that the child not drink wine or strong drink. If your language can use two negatives together for emphasis without them cancelling each other to create a positive meaning, it would be appropriate to use that construction here.
1:15	hgb9		rc://*/ta/man/translate/figs-activepassive	Πνεύματος Ἁγίου πλησθήσεται	he will be filled with the Holy Spirit	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “the Holy Spirit will fill him”
1:15	l019		rc://*/ta/man/translate/figs-metaphor	Πνεύματος Ἁγίου πλησθήσεται	he will be filled with the Holy Spirit	1	The angel speaks as if John would be a container that the **Holy Spirit** would fill. He means that the Holy Spirit will empower and influence John. Be sure that in your translation, this does not sound similar to what an evil spirit might do to in taking control of a person. Alternate translation: “the Holy Spirit will empower him”
1:15	ie95			ἔτι ἐκ κοιλίας μητρὸς αὐτοῦ	even from his mother’s womb	1	Alternate translation: “while he is still in his mother’s womb”
1:16	x36x		rc://*/ta/man/translate/figs-metaphor	πολλοὺς τῶν υἱῶν Ἰσραὴλ ἐπιστρέψει ἐπὶ Κύριον	he will turn many of the sons of Israel back to the Lord	1	To **turn** a person **back** means to lead them to repent and obey the Lord once again. Alternate translation: “he will cause many of the people of Israel to repent and obey the Lord”
1:16	l020		rc://*/ta/man/translate/figs-metaphor	πολλοὺς τῶν υἱῶν Ἰσραὴλ	many of the sons of Israel	1	Here, the word **sons** means “descendants.” This expression envisions all of the Israelites as if they were their ancestor Jacob, who was also known as Israel. Alternate translation: “many of the people of Israel”
1:17	c52s		rc://*/ta/man/translate/figs-idiom	αὐτὸς προελεύσεται ἐνώπιον αὐτοῦ	he will go before him	1	To **go before** is an idiom that indicates that before the Lord comes, John will announce to the people that the Lord is going to come to them. Alternate translation: “John will announce that the Lord is coming”
1:17	p472		rc://*/ta/man/translate/figs-doublet	ἐν πνεύματι καὶ δυνάμει Ἠλεία	in the spirit and power of Elijah	1	In this context, the words **spirit** and **power** mean similar things. The angel may be using them together for emphasis. Alternate translation: “with the same great power that Elijah had”
1:17	l022		rc://*/ta/man/translate/figs-hendiadys	ἐν πνεύματι καὶ δυνάμει Ἠλεία	in the spirit and power of Elijah	1	Alternatively, the angel may be expressing a single idea by using two words connected with **and.** The term **power** may tell what kind of **spirit** Elijah had. If it would be helpful in your language, you could express the meaning with a single phrase. Alternate translation: “in the powerful spirit of Elijah”
1:17	w32h		rc://*/ta/man/translate/figs-personification	ἐπιστρέψαι καρδίας πατέρων ἐπὶ τέκνα	to turn the hearts of fathers back to their children	1	The angel speaks of **hearts** as if they were living things that could be turned to go in a different direction. This expression means to change someone’s attitude toward something. Alternate translation: “to make fathers care about their children once again”
1:17	qe48		rc://*/ta/man/translate/figs-synecdoche	ἐπιστρέψαι καρδίας πατέρων ἐπὶ τέκνα	to turn the hearts of fathers back to their children	1	The angel uses the relationship between **fathers** and **children** to represent all relationships. Luke relates in [3:10–14](../03/10.md) how John encouraged reconciliation in a variety of different relationships. Alternate translation: “to restore broken relationships”
1:17	l024		rc://*/ta/man/translate/figs-explicit	ἐπιστρέψαι καρδίας πατέρων ἐπὶ τέκνα	to turn the hearts of fathers back to their children	1	It is assumed that readers will know that this is what the prophet Malachi had said Elijah would do before the Lord came. The implication in context is that John will fulfill this prophecy by using the same empowerment that Elijah had. If it would be helpful to your readers, you could express this explicitly. Alternate translation: “to restore broken relationships, just as the prophet Malachi said Elijah would do before the Lord came”
1:17	l025		rc://*/ta/man/translate/figs-explicit	ἀπειθεῖς ἐν φρονήσει δικαίων	the disobedient to the wisdom of the righteous	1	Gabriel is using the term **wisdom** in the Old Testament sense as a moral term that refers to choosing the way in life that God has shown to be best. The people who make this choice are **righteous**, meaning that God considers them to be living in the right way. Alternate translation: “to lead people who are disobeying God to choose his ways and become people who live right”
1:17	j49j		rc://*/ta/man/translate/figs-nominaladj	ἀπειθεῖς & δικαίων	the disobedient & of the righteous	1	Gabriel is using the adjectives **disobedient** and **righteous** as nouns in order to indicate groups of people. Your language may use adjectives in the same way. If not, you could translate these words with equivalent phrases. Alternate translation: “people who are disobeying God … people who live right”
1:17	ujs1		rc://*/ta/man/translate/figs-explicit	λαὸν κατεσκευασμένον	a people prepared	1	You could state explicitly in your translation what the people will be prepared to do. Alternate translation: “a people who will be prepared to believe his message”
1:18	asn2		rc://*/ta/man/translate/figs-explicit	κατὰ τί γνώσομαι τοῦτο	How will I know this	1	Zechariah is implicitly asking for a sign as proof. Alternate translation: “What sign can you show me to prove that this will happen”
1:18	l026		rc://*/ta/man/translate/grammar-connect-logic-result	γάρ	For	1	The word **For** introduces the reason why Zechariah wants a sign. He and his wife are both too old to have children, so he is finding it hard to believe what the angel has told him.
1:18	l027		rc://*/ta/man/translate/figs-idiom	προβεβηκυῖα ἐν ταῖς ἡμέραις αὐτῆς	is advanced in her days	1	Zechariah is using two idioms. As in [1:7](../01/07.md), to be **advanced** means to have aged, and **days** refers a particular period of time, in this case the lifetime of Elizabeth. Alternate translation: “my wife has also grown old”
1:19	l028		rc://*/ta/man/translate/figs-hendiadys	ἀποκριθεὶς ὁ ἄγγελος εἶπεν	answering, the angel said	1	Together the words **answering** and **said** mean that the angel responded to the question that Zechariah asked. Alternate translation: “the angel responded”
1:19	p3jn		rc://*/ta/man/translate/figs-declarative	ἐγώ εἰμι Γαβριὴλ, ὁ παρεστηκὼς ἐνώπιον τοῦ Θεοῦ	I am Gabriel, the one standing before God	1	**Gabriel** says this in the form of a statement, but he means it as a rebuke to Zechariah. The presence of an angel coming directly from God should be enough proof for him. Alternate translation: “You should have believed me, Gabriel, coming to you straight from God!”
1:19	yp6z		rc://*/ta/man/translate/figs-metaphor	ὁ παρεστηκὼς ἐνώπιον τοῦ Θεοῦ	the one standing before God	1	To stand **before** or “in front of” a master, that is, in the presence of that master, means to be available to serve them at all times in any capacity. Alternate translation: “I serve God personally”
1:19	pd7h		rc://*/ta/man/translate/figs-activepassive	ἀπεστάλην λαλῆσαι πρὸς σὲ	I was sent to speak to you	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “God sent me to speak to you”
1:20	x9qk		rc://*/ta/man/translate/figs-metaphor	καὶ ἰδοὺ	And behold	1	The term **behold** focuses the attention of the listener on what the speaker is about to say. Though it literally means “look” or “see,” in this case seeing means giving notice and attention. Alternate translation: “Pay attention!”
1:20	l030		rc://*/ta/man/translate/figs-explicit	ἔσῃ σιωπῶν καὶ μὴ δυνάμενος λαλῆσαι	you will be silent and not able to speak	1	The implication is that God will make this happen, to show that Zechariah should have believed what Gabriel told him. Alternate translation: “God will make you completely unable to speak”
1:20	g5t1		rc://*/ta/man/translate/figs-doublet	σιωπῶν καὶ μὴ δυνάμενος λαλῆσαι	silent and not able to speak	1	These two phrases mean the same thing. Gabriel uses the repetition to emphasize how complete the silence of Zechariah will be. Alternate translation: “completely unable to speak”
1:20	q6y3		rc://*/ta/man/translate/figs-metonymy	οὐκ ἐπίστευσας τοῖς λόγοις μου	you did not believe my words	1	Gabriel uses the term **words** to describe the content of his message by reference to something associated with it, the words he used to communicate it. Alternate translation: “you did not believe what I told you”
1:20	l031		rc://*/ta/man/translate/figs-activepassive	οἵτινες πληρωθήσονται	which will be fulfilled	1	If it would be helpful in your language, you could express this with an active form. Alternate translation: “which will happen”
1:20	hgu3		rc://*/ta/man/translate/figs-idiom	εἰς τὸν καιρὸν αὐτῶν	in their time	1	This is an idiom that means “the time that pertains to them.” Alternate translation: “at the appointed time” or “at the time that God has chosen”
1:21	e14e		rc://*/ta/man/translate/grammar-connect-time-simultaneous	καὶ	And	1	The word **And** marks a shift in the story from what happened inside the temple to what happened outside. Alternate translation: “While that was happening” or “While the angel and Zechariah were talking”
1:22	h6vt		rc://*/ta/man/translate/grammar-connect-logic-result	ἐπέγνωσαν ὅτι ὀπτασίαν ἑώρακεν ἐν τῷ ναῷ. καὶ αὐτὸς ἦν διανεύων αὐτοῖς, καὶ διέμενεν κωφός	they perceived that he had seen a vision in the temple; & he was making signs to them and remained unable to speak	1	If it would be helpful in your language, you could reverse the order of these phrases, since the second phrase gives the reason for the action that the first phrase describes. Alternate translation: “He kept on making signs to them but said nothing. So they concluded that he must have seen a vision while he was in the temple”
1:22	r2ak		rc://*/ta/man/translate/figs-explicit	ἐπέγνωσαν ὅτι ὀπτασίαν ἑώρακεν ἐν τῷ ναῷ	they perceived that he had seen a vision in the temple	1	Gabriel was actually present with Zechariah in the temple. He explains in [1:19](../01/19.md) that God sent him there. The people, not knowing this, assumed that Zechariah had seen a vision. While the Greek says that they “perceived” this, it means that they thought they recognized what had happened. Alternate translation: “they thought that he had seen a vision”
1:23	duy9		rc://*/ta/man/translate/writing-newevent	καὶ ἐγένετο	And it happened that	1	Luke uses this phrase to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:23	l032		rc://*/ta/man/translate/figs-activepassive	ὡς ἐπλήσθησαν αἱ ἡμέραι τῆς λειτουργίας αὐτοῦ	when the days of his priestly service were fulfilled	1	If it would be helpful in your language, you could express this with an active form, and you could state who did the action. Alternate translation: “when Zechariah had finished his time of service at the temple”
